WKT,transportation.sde.BMTC_LAND.objectid,transportation.sde.BMTC_LAND.kgiscode,transportation.sde.BMTC_LAND.departmentcode,transportation.sde.BMTC_LAND.kgisbmtclandid,transportation.sde.BMTC_LAND.kgisbmtclandname,transportation.sde.BMTC_LAND.kgiswardid,transportation.sde.BMTC_LAND.kgisvillageid,transportation.sde.BMTCLAND_TBL.objectid,transportation.sde.BMTCLAND_TBL.kgisbmtclandid,transportation.sde.BMTCLAND_TBL.name,transportation.sde.BMTCLAND_TBL.area_gis,transportation.sde.BMTCLAND_TBL.acre_rec,transportation.sde.BMTCLAND_TBL.gunte_rec,transportation.sde.BMTCLAND_TBL.area_sq_m,transportation.sde.BMTCLAND_TBL.survey_no,transportation.sde.BMTCLAND_TBL.hobli,transportation.sde.BMTCLAND_TBL.taluk,transportation.sde.BMTCLAND_TBL.district,transportation.sde.BMTCLAND_TBL.status,transportation.sde.BMTCLAND_TBL.category,transportation.sde.BMTCLAND_TBL.photo
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7322820750433 13.0552833144859,77.7338875151449 13.0552571474682,77.732411940722 13.0540128054894,77.7316197880221 13.0538060676397,77.7314424770294 13.0537548814876,77.7312789946868 13.0532981882294,77.7307510468432 13.0535069231133,77.7309188685569 13.0538039120749,77.7314305711033 13.0537805808021,77.7315088875187 13.054251796003,77.7322820750433 13.0552833144859))))","178",,"178","178",Baiyapanahalli,,,"178","178",Baiyapanahalli,6.04,"3",0.1,24436.35,"44",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6927015678791 13.0707282551247,77.6957603601395 13.0706861843992,77.6957618018195 13.0706128443264,77.6940127267094 13.0701373435357,77.6925103278931 13.0700120074236,77.6927015678791 13.0707282551247))))","179",,"179","179",Bande_Bommasandra,,,"179","179",Bande_Bommasandra,4.35,"3",0.2,17598.72,"38",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7563464000405 13.067078759955,77.7564780191061 13.0665584053634,77.7556467306332 13.0662747693306,77.7555877685136 13.0668995026229,77.7563464000405 13.067078759955))))","180",,"180","180",Bendiganahalli,,,"180","180",Bendiganahalli,1.41,"1",0.1,5726.1,"50",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7451778216567 13.0670346168991,77.7458846431013 13.0679085557909,77.7472119589742 13.067153511207,77.7467866810472 13.0664043287073,77.7451778216567 13.0670346168991))))","181",,"181","181",Bommenahalli,,,"181","181",Bommenahalli,4.7,"2",0.2,19001.06,"96",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7434490996473 13.0502652513864,77.7440342277351 13.0503625777797,77.744142020118 13.0493894798867,77.7441973673009 13.0489367213661,77.744577121731 13.0489770642595,77.7444441839699 13.0482579603563,77.7433755501039 13.0480805262332,77.7433802478141 13.0482710332602,77.7432596591768 13.0483318020744,77.7433882814813 13.0486600571333,77.743473188156 13.0491282311583,77.7434967895069 13.0493139197968,77.7434589976424 13.0499904632296,77.7434490996473 13.0502652513864))))","182",,"182","182",Cheemasandra,,,"182","182",Cheemasandra,5.25,"3",0.25,21245.73,"83",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0121_cheamsandra.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7520480630858 13.0353543346237,77.7531833879502 13.0350614273822,77.7529773967862 13.0345651358072,77.7517922634938 13.0348866538017,77.7520480630858 13.0353543346237))))","183",,"183","183",Doddabanahalli,,,"183","183",Doddabanahalli,1.87,"2",0,7562.26,"3",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0122_Doddabanahalli.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6720095912671 13.1014132712008,77.6720508435971 13.1005957212476,77.6702258793446 13.1009906678876,77.6701819443246 13.1008713587333,77.6678826562273 13.1011229813645,77.6680397943299 13.10151727123,77.6686808574033 13.1013939876582,77.6687438736705 13.1015845495927,77.6699529146226 13.101769216059,77.6699615235661 13.1020021712588,77.6699044343775 13.1023612909258,77.6711762745542 13.1021509181229,77.6712511328781 13.1017438103013,77.6720095912671 13.1014132712008))),CURVEPOLYGON (COMPOUNDCURVE ((77.6723171329336 13.1053821281086,77.6722014870427 13.1053723887544,77.6699646450135 13.1063103295631,77.6702718971253 13.1069523097745,77.6723171329336 13.1053821281086))),CURVEPOLYGON (COMPOUNDCURVE ((77.6767701647996 13.1006862461241,77.6756828561013 13.1002577448372,77.6756296812954 13.1003013201351,77.6757944764013 13.10065813658,77.6754398947132 13.1007908877658,77.6751677993466 13.1008845396733,77.6758478174486 13.1015323893609,77.6762860919097 13.101021119168,77.6767701647996 13.1006862461241))),CURVEPOLYGON (COMPOUNDCURVE ((77.6745679968367 13.0971548050106,77.6736887390643 13.0963943013502,77.6735695332001 13.0964729688065,77.673951802789 13.0974564536788,77.6745679968367 13.0971548050106))),CURVEPOLYGON (COMPOUNDCURVE ((77.669344556885 13.1041477857773,77.6686521649385 13.1026909649043,77.6685974975458 13.1027094577534,77.6684153121658 13.1024595042409,77.6691257497626 13.1042420799099,77.669344556885 13.1041477857773))))","184",,"184","184",Doddenahalli,,,"184","184",Doddenahalli,18.39,"14",0.89999998,74415.57,"10",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.711124087852 13.0893037594835,77.7114555825012 13.0892747132519,77.711580386512 13.0892631426233,77.7115821366247 13.0890411429362,77.711547949956 13.0887664257303,77.7115216430549 13.0887162049992,77.7113929513983 13.0884770326545,77.7109842217449 13.0885376053035,77.7110375451395 13.0888637489723,77.7110814092356 13.0890719827644,77.7111154667108 13.0892592001788,77.711124087852 13.0893037594835))))","185",,"185","185",Gunduru,,,"185","185",Gunduru,1.14,"1",0.5,4604.66,"66",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0125_Gundoor.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7470145672324 13.0963193716779,77.7458865174159 13.0960185380403,77.7459702300132 13.096488511823,77.7471535130454 13.0966072416283,77.7470145672324 13.0963193716779))))","186",,"186","186",Hancharahalli,,,"186","186",Hancharahalli,1.23,"1",0,4973.73,"51",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0129_Hanchrahalli.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7426082399711 13.0951167776365,77.7443262620765 13.0948838602913,77.7444393285791 13.095376589214,77.7448065263699 13.0952048286643,77.7458093412973 13.0953432658211,77.746738641913 13.0954664508482,77.7464968821684 13.0947162014933,77.7447053856841 13.0940592779159,77.7420182262542 13.0940761915376,77.7426082399711 13.0951167776365))))","187",,"187","187",Hancharahalli,,,"187","187",Hancharahalli,12.2,"13",0.30000001,49370.29,"52",Bidarahalli,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC0128_Hancharahalli.JPG
