WKT,transportation.sde.BMTC_LAND.objectid,transportation.sde.BMTC_LAND.kgiscode,transportation.sde.BMTC_LAND.departmentcode,transportation.sde.BMTC_LAND.kgisbmtclandid,transportation.sde.BMTC_LAND.kgisbmtclandname,transportation.sde.BMTC_LAND.kgiswardid,transportation.sde.BMTC_LAND.kgisvillageid,transportation.sde.BMTCLAND_TBL.objectid,transportation.sde.BMTCLAND_TBL.kgisbmtclandid,transportation.sde.BMTCLAND_TBL.name,transportation.sde.BMTCLAND_TBL.area_gis,transportation.sde.BMTCLAND_TBL.acre_rec,transportation.sde.BMTCLAND_TBL.gunte_rec,transportation.sde.BMTCLAND_TBL.area_sq_m,transportation.sde.BMTCLAND_TBL.survey_no,transportation.sde.BMTCLAND_TBL.hobli,transportation.sde.BMTCLAND_TBL.taluk,transportation.sde.BMTCLAND_TBL.district,transportation.sde.BMTCLAND_TBL.status,transportation.sde.BMTCLAND_TBL.category,transportation.sde.BMTCLAND_TBL.photo
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6008607523643 12.7499185240233,77.6010861587346 12.7516864762898,77.6036254606068 12.7513889699337,77.6032786851306 12.7489111932657,77.6040937394245 12.7486019790706,77.6040872190307 12.7478579444274,77.6008607523643 12.7499185240233))))","219",,"219","219",M-Lingapura,,,"219","219",M-Lingapura,19.65,"20",0,79513.56,"48",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6008607523643 12.7499185240233,77.605387963704 12.7470293842379,77.6051121822747 12.7453219364171,77.6044553503367 12.7453857770555,77.6040945654246 12.747253810041,77.6027546015717 12.7476685863643,77.6025703491654 12.7467955294002,77.6004294974234 12.7474763382558,77.6008607523643 12.7499185240233))))","220",,"220","220",M-Lingapura,,,"220","220",M-Lingapura,23.77,"20",0,96194.56,"47",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC0111_Mahalingapura.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6013209391545 12.7627111558428,77.6012116819229 12.7634580249952,77.600988047118 12.7634984743984,77.6026401899061 12.7642808752881,77.6016967315391 12.7663267606676,77.6045944667987 12.7677228359946,77.6041449384605 12.7656811283131,77.6055984439582 12.7649305569554,77.604039362424 12.7648837902367,77.6040759731391 12.7646539554652,77.6035725162987 12.7640039629997,77.603389505014 12.7642065580933,77.6028113079544 12.7638680470901,77.6021509746705 12.763481279051,77.6028190691328 12.7626093840024,77.6034983186642 12.761876019092,77.603909467602 12.7614660017128,77.603358870763 12.7608371628695,77.6002559809172 12.759145594822,77.6001668104983 12.7593951389014,77.6015383430943 12.7601561098201,77.6022437383926 12.7605507398306,77.6020910627387 12.7618143550017,77.601543363364 12.7615998375164,77.601333576734 12.76204173115,77.6013209391545 12.7627111558428))),CURVEPOLYGON (COMPOUNDCURVE ((77.6049812628959 12.7647642559604,77.6057167514681 12.764766559861,77.6059085973659 12.7649511134116,77.6068696849696 12.7648323759814,77.6063284722545 12.7638323454915,77.605679806168 12.7634878767996,77.6053428848802 12.7631030869496,77.6050113551313 12.7627244553286,77.6043217380286 12.7636186126377,77.6044396004532 12.763713063759,77.6042887972066 12.7642069646467,77.6041612680943 12.7645954593435,77.6041486153778 12.7647868133909,77.6049812628959 12.7647642559604))),CURVEPOLYGON (COMPOUNDCURVE ((77.6078900422245 12.766717718769,77.6069209312792 12.7649270642905,77.6067081786456 12.7649867564805,77.607237167922 12.7661862694728,77.606791209743 12.7666328883469,77.6072622078466 12.7674409554531,77.6082614937274 12.7681123321286,77.6082728387578 12.7688979876694,77.6095332314487 12.7690752783933,77.6086350456209 12.7680942550575,77.6078900422245 12.766717718769))),CURVEPOLYGON (COMPOUNDCURVE ((77.5995622470241 12.7629101438562,77.6013209391545 12.7627111558428,77.5999574374954 12.7622608552969,77.6001117884975 12.7612792866559,77.5994778217047 12.7612018646306,77.5994352866796 12.7618058508705,77.5994534459653 12.7623913108088,77.5995622470241 12.7629101438562))))","221",,"221","221",Kalluballu,,,"221","221",Kalluballu,58.3,"60",0.37,235945.92,"90",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC0107_Kallubalu1.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.55190888366 12.8108374600561,77.5525445432835 12.8105574093025,77.5523624314859 12.8099712586652,77.5515890031694 12.8097565541956,77.5515109151273 12.8095040666057,77.5513540729697 12.8094276258348,77.5514093223111 12.809144085983,77.5512427213964 12.8091692194063,77.5511541357274 12.8095924049314,77.5511872077217 12.8101945559718,77.5512598656737 12.8106333893546,77.5518828118964 12.8107367735399,77.55190888366 12.8108374600561))))","222",,"222","222",Buthanahalli,,,"222","222",Buthanahalli,3.69,"3",0.30000001,14927.03,"114",Jigani,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6086033278473 12.7792826117987,77.6100874142163 12.7792934538514,77.6099298142335 12.7778466373397,77.6101203319371 12.7765831891181,77.6091178567237 12.7768788598242,77.6082302999811 12.7770648700504,77.6085013515836 12.7784938891388,77.6086033278473 12.7792826117987))))","223",,"223","223",Bukkasagara,,,"223","223",Bukkasagara,10.89,"10",0,44068.71,"97",Jigani,Anekal,Bangalore Urban,Vacant(Compound),Vacant,DSC0101_Bukkasagara1.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.8018756760564 12.8051850589721,77.8017876308047 12.8043655677871,77.8016148323533 12.8044149244547,77.8015064237892 12.8044287597858,77.8014866492784 12.8044354460379,77.8015277713704 12.8052358777203,77.8018756760564 12.8051850589721))))","224",,"224","224",Bidaraguppe,,,"224","224",Bidaraguppe,0.79,"0",0.31999999,3189.36,"437",Attibele,Anekal,Bangalore Urban,Vacant(Compound),Vacant,DSC0100_Bidariguppe-437.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7658013767871 12.7387243450889,77.7662553796885 12.7395011337844,77.766865795907 12.7388027630271,77.7662215980483 12.7384839892601,77.7658013767871 12.7387243450889))))","225",,"225","225",Kodlipura,,,"225","225",Kodlipura,1.6,"1",0.27000001,6488.04,"97",Attibele,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7803450993499 12.8104938714307,77.7805668464562 12.8104741725845,77.7809091846851 12.8104292538347,77.7810815209323 12.8102892598392,77.7811063345923 12.8098679420625,77.780739123887 12.8099516792125,77.7804140472579 12.8099618081786,77.7803127842004 12.8101321465832,77.7803450993499 12.8104938714307))))","226",,"226","226",Bidaraguppe,,,"226","226",Bidaraguppe,1.12,"1",0.40000001,4544.78,"331",Attibele,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7934994903749 12.8066228052098,77.7946950716426 12.8061568795301,77.7947266642504 12.805436733452,77.7943499362616 12.805743359969,77.7940119566416 12.8058883295528,77.7933795328039 12.8061113888217,77.7934994903749 12.8066228052098))))","227",,"227","227",Bidaraguppe,,,"227","227",Bidaraguppe,2.14,"2",0,8654.16,"366",Attibele,Anekal,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.61001710724 12.929872053197,77.6102954406993 12.9294885037901,77.6098785140847 12.9292146528112,77.6096059387994 12.9296063889124,77.61001710724 12.929872053197))))","228",,"228","228",St._John's_Prestige_Woods_Apartment,,,"228","228",St._John's_Prestige_Woods_Apartment,0.72,"0",0,2927.47, ,Begur,Bangalore South,Bangalore Urban,47 Apartments,Others,DSC_St_John_Prestige_Apt.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7623609209935 12.9752973867508,77.7623474096704 12.9746887118552,77.7618810343048 12.9747577262973,77.7618903566272 12.9753920325419,77.7618964021634 12.975390815681,77.7618971898049 12.9753906582658,77.7623609209935 12.9752973867508))),CURVEPOLYGON (COMPOUNDCURVE ((77.7631364720786 12.9758507949503,77.7630769912055 12.975423919249,77.7626576027584 12.9755150153867,77.7626594179529 12.9756793112818,77.7618971266817 12.9758526099679,77.7618977825061 12.9758972244251,77.7619036816921 12.9758971834358,77.7623843290024 12.9758938076768,77.7627378605992 12.9758913238767,77.762884880409 12.9758902899651,77.7630388296643 12.975877006452,77.7631364720786 12.9758507949503))))","229",,"229","229",Nagondanahalli,,,"229","229",Nagondanahalli,1.73,"2",0,6963.19,"120",K.R.Puram,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.7030092709938 12.9601543188474,77.703008997859 12.9601559793559,77.7043032555849 12.9603994772442,77.7043275188263 12.9598255880817,77.7030661756558 12.9598088128865,77.7030092709938 12.9601543188474))))","230",,"230","230",Munnekolalu,,,"230","230",Munnekolalu,1.76,"2",0,7108.66,"99",K.R.Puram,Bangalore East,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.4783360707494 13.0746933562121,77.4783418023438 13.0742126723827,77.4778247433854 13.0741816780589,77.4775216189217 13.074155901437,77.477455958687 13.0731482088241,77.4773741617088 13.0731619028304,77.4774005414701 13.0737525866517,77.4774308231438 13.0744407670112,77.4770848672888 13.0745215389847,77.4765419092969 13.0746544006154,77.4765068866887 13.0740284199215,77.4764528412948 13.0743575839922,77.4765074200046 13.0747237473256,77.4763026505262 13.0750585420674,77.4765894572665 13.075012283863,77.4772357124815 13.0749080504795,77.4783335922953 13.0746956505027,77.4783360707494 13.0746933562121))))","231",,"231","231",Kuduregere,,,"231","231",Kuduregere,3.17,"2",0.1,12635.48,"7",Dasanpura,Bangalore North,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.4140621938405 13.0077620653499,77.4140691097055 13.0077335429422,77.4140666618409 13.007741203386,77.4140724897712 13.0077166151977,77.4142566277494 13.0075104846342,77.4142831916371 13.0074696890555,77.4142863240628 13.0074648783465,77.4143150951567 13.007420692004,77.4145463077541 13.0070656021561,77.4142249178149 13.0065884734548,77.4140417943856 13.0060201559379,77.4142777349614 13.0052335616054,77.4140265586888 13.0051228802814,77.4139394314011 13.0050895458325,77.4132107879417 13.0047954911552,77.4140344855382 13.0070258606957,77.414034860293 13.007034212291,77.4133696220082 13.0075071590811,77.4139833942711 13.0080521697317,77.4140621938405 13.0077620653499))),CURVEPOLYGON (COMPOUNDCURVE ((77.4140164158616 13.0100687936904,77.4134995803405 13.0097675893362,77.4134926236114 13.0097682811222,77.413487523518 13.0097654399391,77.4132739842654 13.0097748899037,77.4130054433935 13.0095723220417,77.412930242874 13.009224864611,77.4120721841878 13.0095374162799,77.4120239280407 13.0089535289753,77.4115437788813 13.0092081740566,77.4114065725912 13.0092761149823,77.4114892524548 13.0094565074919,77.4114970973307 13.0094736236347,77.4121187748503 13.0098263229343,77.4126262015024 13.0097805242941,77.4128353708747 13.0104441558584,77.4134118595468 13.0104924272157,77.4134221114502 13.0105191626085,77.4134854274584 13.0106842737599,77.4137149292053 13.0105810703889,77.4140164158616 13.0100687936904))),CURVEPOLYGON (COMPOUNDCURVE ((77.411951951664 13.0078295025641,77.4116611745692 13.0073515342845,77.4108316054664 13.0080581738646,77.4108412391334 13.008060167922,77.4111121230317 13.0081162365313,77.4111130003417 13.0083275959953,77.4111479836021 13.0083172496253,77.411951951664 13.0078295025641))))","232",,"232","232",Kithanahalli,,,"232","232",Kithanahalli,10.86,"6",0.31999999,43962.94," 42",Dasanpura,Bangalore North,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6596597223027 13.1602942356115,77.6601984447423 13.1602839782873,77.6601596068082 13.1598493639949,77.6600369492789 13.1588802150737,77.659804361767 13.1567649059604,77.659023902315 13.1567682115455,77.6592057028334 13.1577941157844,77.6593778549031 13.158829680027,77.659647325883 13.1602944715959,77.6596548125819 13.160294328957,77.6596597223027 13.1602942356115))))","233",,"233","233",Huthanahalli,,,"233","233",Huthanahalli,6.92,"7",0.22,28016.07,"148",Jala,Bangalore North (Apara) Yelahanka,Bangalore Urban,Vacant (Compound),Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.6586025210858 13.1582120783631,77.6591727624926 13.1582450107095,77.6589101472702 13.1567932925453,77.6584516568053 13.1567980416288,77.6585937340721 13.1582115704434,77.6586025210858 13.1582120783631))))","234",,"234","234",Huthanahalli,,,"234","234",Huthanahalli,2.17,"2",0.34,8767.17,"72",Jala,Bangalore North (Apara) Yelahanka,Bangalore Urban,Vacant (Fence),Vacant,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.4640737958769 13.0474855760596,77.4644214793692 13.0474770518352,77.4643926780215 13.0467185439316,77.4646058055657 13.0467347700536,77.4646393671512 13.0459918283729,77.4643309344853 13.0459797598853,77.4643453125425 13.0467123018901,77.4640724370149 13.046709134768,77.4640737912979 13.0474830679526,77.4640737958769 13.0474855760596))))","235",,"235","235",Dombarahalli,,,"235","235",Dombarahalli,1.39,"5",0.27000001,5606.79,"18",Dasanpura,Bangalore North,Bangalore Urban,Vacant,Vacant,DSC_no_image.jpg
